Time,Accel-X (g), Accel-Y (g), Accel-Z (g), Gyro-X (d/s), Gyro-Y (d/s), Gyro-Z (d/s)
2026-05-05 16:18:47.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.045,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.065,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.069,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.079,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.109,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.125,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.134,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.144,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.160,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.164,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.240,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.259,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2026-05-05 16:18:47.285,-0.612793,0.663818,0.106445,-0.122070,0.061035,0.061035
2026-05-05 16:18:47.289,-0.604980,0.666016,0.088379,0.061035,0.366211,0.000000
2026-05-05 16:18:47.295,-0.607910,0.651611,0.088379,0.061035,0.183105,-0.427246
2026-05-05 16:18:47.299,-0.601563,0.642822,0.082520,0.000000,0.122070,-0.366211
2026-05-05 16:18:47.305,-0.594238,0.640381,0.076416,0.061035,-0.305176,-0.366211
2026-05-05 16:18:47.309,-0.595703,0.633545,0.083008,0.366211,-0.549316,-0.244141
2026-05-05 16:18:47.315,-0.596436,0.632324,0.083740,0.732422,-0.427246,-0.061035
2026-05-05 16:18:47.319,-0.594238,0.629150,0.084229,0.854492,-0.610352,0.305176
2026-05-05 16:18:47.325,-0.598633,0.641357,0.089844,0.610352,-1.098633,0.610352
2026-05-05 16:18:47.329,-0.603027,0.641602,0.096680,0.732422,-1.098633,0.671387
2026-05-05 16:18:47.335,-0.607422,0.653320,0.101074,1.220703,-0.793457,0.915527
2026-05-05 16:18:47.339,-0.607666,0.646973,0.109619,1.098633,-0.793457,0.549316
2026-05-05 16:18:47.345,-0.607422,0.654297,0.115479,0.427246,-0.671387,0.610352
2026-05-05 16:18:47.349,-0.609375,0.656982,0.111084,0.244141,-0.488281,0.488281
2026-05-05 16:18:47.355,-0.608398,0.660889,0.110107,0.427246,-0.122070,0.183105
2026-05-05 16:18:47.359,-0.605957,0.650879,0.107910,0.305176,0.000000,-0.122070
2026-05-05 16:18:47.365,-0.601563,0.651611,0.098389,0.061035,0.061035,-0.061035
2026-05-05 16:18:47.369,-0.598877,0.640381,0.097412,-0.183105,-0.122070,-0.183105
2026-05-05 16:18:47.375,-0.598389,0.641846,0.090088,0.000000,0.061035,0.000000
2026-05-05 16:18:47.380,-0.596924,0.638428,0.082764,0.244141,0.061035,0.061035
2026-05-05 16:18:47.384,-0.596924,0.635498,0.085449,0.305176,-0.061035,0.305176
2026-05-05 16:18:47.390,-0.595215,0.640869,0.084717,0.244141,-0.244141,0.366211
2026-05-05 16:18:47.394,-0.600098,0.639648,0.083496,0.366211,-0.610352,0.549316
2026-05-05 16:18:47.400,-0.605469,0.652588,0.087646,0.732422,-0.549316,0.671387
2026-05-05 16:18:47.404,-0.599121,0.645996,0.088867,0.732422,-0.610352,0.549316
2026-05-05 16:18:47.410,-0.608154,0.659424,0.094238,0.671387,-1.037598,0.854492
2026-05-05 16:18:47.414,-0.607666,0.655762,0.102295,0.671387,-1.037598,0.427246
2026-05-05 16:18:47.420,-0.605713,0.656250,0.103271,0.671387,-0.732422,0.427246
2026-05-05 16:18:47.424,-0.613281,0.659180,0.105957,0.732422,-0.671387,0.122070
2026-05-05 16:18:47.430,-0.605713,0.653076,0.108643,0.488281,-0.427246,-0.061035
2026-05-05 16:18:47.434,-0.603027,0.647949,0.106934,0.061035,-0.427246,-0.061035
2026-05-05 16:18:47.440,-0.605225,0.645996,0.106689,0.183105,-0.427246,-0.061035
2026-05-05 16:18:47.444,-0.598145,0.641357,0.105225,0.366211,-0.061035,-0.061035
2026-05-05 16:18:47.450,-0.594971,0.634521,0.093750,0.000000,-0.061035,0.061035
2026-05-05 16:18:47.454,-0.599609,0.637939,0.093262,0.000000,-0.122070,0.244141
2026-05-05 16:18:47.460,-0.593750,0.635254,0.094971,0.183105,-0.122070,0.305176
2026-05-05 16:18:47.464,-0.596436,0.647949,0.084961,0.366211,-0.183105,0.549316
2026-05-05 16:18:47.470,-0.604492,0.645508,0.085938,0.549316,-0.366211,0.732422
2026-05-05 16:18:47.474,-0.599121,0.649902,0.087646,0.549316,-0.305176,0.854492
2026-05-05 16:18:47.480,-0.602295,0.654053,0.091064,0.427246,-0.610352,0.671387
2026-05-05 16:18:47.484,-0.606934,0.648438,0.093994,0.610352,-0.610352,0.549316
2026-05-05 16:18:47.490,-0.607422,0.659912,0.089844,0.915527,-0.610352,0.610352
2026-05-05 16:18:47.494,-0.610840,0.670654,0.098145,0.671387,-0.915527,0.305176
2026-05-05 16:18:47.500,-0.604980,0.658936,0.103271,0.427246,-0.854492,-0.061035
2026-05-05 16:18:47.505,-0.609131,0.657959,0.103516,0.366211,-0.610352,-0.366211
2026-05-05 16:18:47.509,-0.601807,0.633057,0.104736,0.732422,-0.427246,-0.549316
2026-05-05 16:18:47.515,-0.595459,0.640869,0.101318,0.488281,-0.366211,-0.183105
2026-05-05 16:18:47.519,-0.595459,0.626221,0.104980,0.000000,-0.366211,-0.244141
2026-05-05 16:18:47.525,-0.595947,0.631836,0.101563,0.061035,-0.244141,0.183105
2026-05-05 16:18:47.529,-0.602295,0.627930,0.096924,0.183105,-0.061035,0.427246
2026-05-05 16:18:47.535,-0.605713,0.667725,0.095215,0.488281,-0.061035,0.793457
2026-05-05 16:18:47.539,-0.593750,0.653564,0.095215,0.122070,-0.305176,0.183105
2026-05-05 16:18:47.545,-0.613037,0.663330,0.092529,-0.122070,-0.427246,0.305176
2026-05-05 16:18:47.549,-0.602783,0.648682,0.085449,0.671387,-0.244141,-0.061035
2026-05-05 16:18:47.555,-0.595947,0.642334,0.090820,0.854492,-0.366211,0.061035
2026-05-05 16:18:47.559,-0.608154,0.641357,0.087891,0.061035,-0.549316,0.122070
2026-05-05 16:18:47.565,-0.597900,0.645752,0.088135,0.305176,-0.793457,0.427246
2026-05-05 16:18:47.569,-0.597900,0.643066,0.105225,0.427246,-0.793457,0.366211
2026-05-05 16:18:47.575,-0.604736,0.634766,0.094238,0.549316,-0.305176,0.427246
2026-05-05 16:18:47.579,-0.603027,0.658447,0.095215,1.220703,-0.366211,0.732422
2026-05-05 16:18:47.585,-0.598389,0.640137,0.105713,0.488281,-0.671387,0.244141
